nestbox,species,long,lat
Ha100,BO,35.599607,33.133196
Ha101,BO,35.599566,33.135132
Ha102,0,35.606355,33.134826
Ha103,0,35.606175,33.130842
Ha104,0,35.60606,33.127234
Ha110,kest,35.613507,33.133436
Ha111,0,35.613217,33.130687
Ha112,kest,35.613086,33.127696
Ha113,0,35.613046,33.125286
Ha115,0,35.612794,33.122305
Ha118,BO,35.5779,33.147446
Ha120,0,35.598636,33.153964
Ha122,BO,35.596605,33.148004
Ha127,BO,35.596177,33.144381
Ha128,BO,35.608814,33.140367
Ha129,BO,35.592925,33.123484
Ha130,BO,35.593318,33.122453
Ha131,0,35.593106,33.120562
Ha132,BO,35.585298,33.118938
Ha134,BO,35.589523,33.114706
Ha135,kest,35.590018,33.111729
Ha136,0,35.59461,33.111987
Ha137,BO,35.593648,33.115495
Ha140,BO,35.585888,33.115778
Ha141,BO,35.569716,33.18342
Ha142,bo,35.569562,33.182185
Ha145,0,35.624914,33.111776
Ha146,kest,35.619045,33.112724
Ha147,0,35.61284,33.113447
Ha148,BO,35.616102,33.11577
Ha149,0,35.613721,33.118839
Ha152,BO,35.626275,33.117336
Ha153,BO,35.622536,33.114981
Ha154,0,35.619852,33.118065
Ha155,bo,35.617634,33.132919
Ha156,0,35.617541,33.130218
Ha157,kest,35.617485,33.128271
Ha158,BO,35.61735,33.124662
Ha159,kest,35.620519,33.121284
Ha160,BO,35.620764,33.124484
Ha161,BO,35.620935,33.126132
Ha162,BO,35.621215,33.129271
Ha163,kest,35.627699,33.128505
Ha164,BO,35.627527,33.126571
Ha165,BO,35.587062,33.108349
Ha166,BO,35.587838,33.103509
Ha169,kest,35.59358,33.097041
Ha170,kest,35.595774,33.097126
Ha171,0,35.590572,33.108645
Ha172,0,35.592607,33.108904
Ha173,0,35.593575,33.109041
Ha174,kest,35.594615,33.104087
Ha177,0,35.638036,33.164018
Ha178,BO,35.636328,33.16384
Ha180,BO,35.638011,33.161791
Ha181,BO,35.634999,33.158932
Ha182,Kest,35.636882,33.158793
Ha183,0,35.638694,33.158539
Ha184,0,35.640622,33.158409
Ha201,BO,35.585062,33.040832
Ha202,BO,35.58132,33.040471
Ha203,BO,35.567654,33.180764
Ha204,BO,35.582855,33.03792
Ha206,BO,35.607924,33.04708
Ha207,BO,35.606672,33.043433
Ha208,0,35.610925,33.045726
Ha210,kest,35.58694,33.109609
Ha211,BO,35.585985,33.112085
Ha212,BO,35.585731,33.113853
Ha213,BO,35.584417,33.121562
Ha214,BO,35.58217,33.132561
Ha215,BO,35.581233,33.135467
Ha217,BO,35.57841,33.14549
Ha218,0,35.62772,33.124906
Ha219,0,35.62716,33.121987
Ha220,BO,35.627058,33.119626
Ha221,0,35.625416,33.110352
Ha222,BO,35.62495,33.106967
Ha223,0,35.620936,33.073429
Ha224,BO,35.621161,33.075206
Ha225,0,35.621327,33.077379
Ha226,BO,35.621653,33.079518
Ha227,BO,35.622202,33.083541
Ha228,0,35.582529,33.110434
Ha229,BO,35.612783,33.086382
Ha230,BO,35.612598,33.089896
Ha231,kest,35.612684,33.092687
Ha232,BO,35.622264,33.098694
Ha233,BO,35.590411,33.096834
Ha234,0,35.602247,33.097138
Ha235,BO,35.603326,33.097141
Ha236,0,35.605922,33.096991
Ha237,BO,35.612457,33.112415
Ha238,BO,35.61225,33.110103
Ha239,0,35.599147,33.15701
Ha3,BO,35.591283,33.109605
Ha32,BO,35.584464,33.12304
Ha34,BO,35.58345,33.123796
Ha400,0,35.571203,33.173324
Ha401,BO,35.647039,33.175929
Ha402,BO,35.650104,33.184745
Ha53,BO,35.621048,33.101829
Ha7,BO,35.594845,33.120947
Ha8,bo,35.59514,33.12302
Ha81,BO,35.590709,33.131435
Ha85,0,35.595472,33.127844
Ha91,0,35.603377,33.122724
Ha92,kest,35.603387,33.124932
Ha94,BO,35.603529,33.129903
Ha96,BO,35.603454,33.135007
Ha99,kest,35.599489,33.13069
Hatower,BO,35.612857,33.101453
Hn1,BO,35.596563,33.154255
Hn2,BO,35.589047,33.147619
